latitude_lora,longitude_lora,latitude_gtw,longitude_gtw,distancia_real,intervalo_tempo,horario_receb,rssi,snr
51.88645553588867,-8.531875610351562,51.892567,-8.508705,1735.404023703726,0 days 00:00:00.061696,2023-12-19 12:29:40,-112.0,-5.8
51.88617706298828,-8.531866073608398,51.892567,-8.508705,1747.182541102202,0 days 00:00:00.061696,2023-12-19 12:29:34,-113.0,-5.5
51.885372161865234,-8.53134822845459,51.892567,-8.508705,1753.7469922718994,0 days 00:00:00.061696,2023-12-19 12:28:51,-109.0,0.8
51.885162353515625,-8.531217575073242,51.892567,-8.508705,1756.5863678879134,0 days 00:00:00.066816,2023-12-19 12:28:38,-112.0,-2.5
51.88483810424805,-8.531585693359375,51.892567,-8.508705,1795.9868963674057,0 days 00:00:00.061696,2023-12-19 12:28:33,-118.0,6.2
51.883968353271484,-8.531840324401855,51.892567,-8.508705,1859.2913041791867,0 days 00:00:00.061696,2023-12-19 12:27:59,-111.0,-2.8
51.8829345703125,-8.531722068786621,51.892567,-8.508705,1914.281959328077,0 days 00:00:00.061696,2023-12-19 12:27:38,-105.0,-2.0
51.88188934326172,-8.530625343322754,51.892567,-8.508705,1921.904751795955,0 days 00:00:00.061696,2023-12-19 12:26:54,-115.0,-7.0
51.87789535522461,-8.529932975769043,51.892567,-8.508705,2192.1893327091684,0 days 00:00:00.061696,2023-12-19 12:24:30,-123.0,-7.2
51.87668228149414,-8.532875061035156,51.892567,-8.508705,2428.551380113695,0 days 00:00:00.061696,2023-12-19 12:16:28,-113.0,3.0
51.87681198120117,-8.53331184387207,51.892567,-8.508705,2438.863604343543,0 days 00:00:00.061696,2023-12-19 12:16:13,-118.0,-2.0
51.877323150634766,-8.533406257629395,51.892567,-8.508705,2402.899373280616,0 days 00:00:00.061696,2023-12-19 12:15:31,-118.0,-7.0
51.87739181518555,-8.533230781555176,51.892567,-8.508705,2388.9559658467033,0 days 00:00:00.061696,2023-12-19 12:14:56,-110.0,-8.0
51.87741470336914,-8.533177375793457,51.892567,-8.508705,2384.5565526642404,0 days 00:00:00.061696,2023-12-19 12:14:50,-113.0,0.5
51.87748336791992,-8.533156394958496,51.892567,-8.508705,2378.1372799650203,0 days 00:00:00.061696,2023-12-19 12:14:13,-113.0,3.2
51.87740707397461,-8.533248901367188,51.892567,-8.508705,2388.638631936249,0 days 00:00:00.061696,2023-12-19 12:13:24,-107.0,-8.5
51.877410888671875,-8.533184051513672,51.892567,-8.508705,2385.18149688476,0 days 00:00:00.061696,2023-12-19 12:12:48,-114.0,-2.2
51.87788391113281,-8.531888961791992,51.892567,-8.508705,2285.1002682874923,0 days 00:00:00.061696,2023-12-19 12:11:51,-118.0,0.2
51.879695892333984,-8.535590171813965,51.892567,-8.508705,2341.3657405430768,0 days 00:00:00.061696,2023-12-19 12:09:47,-119.0,1.0
51.87939453125,-8.536707878112793,51.892567,-8.508705,2422.811015838635,0 days 00:00:00.061696,2023-12-19 12:09:20,-122.0,-3.8
51.88106918334961,-8.534110069274902,51.892567,-8.508705,2168.1094539682767,0 days 00:00:00.061696,2023-12-19 12:05:49,-118.0,-2.8
51.88147735595703,-8.534870147705078,51.892567,-8.508705,2184.5698871086915,0 days 00:00:00.061696,2023-12-19 12:03:48,-123.0,-8.5
51.88656234741211,-8.54102611541748,51.892567,-8.508705,2324.308537471082,0 days 00:00:00.061696,2023-12-19 11:58:20,-123.0,-9.0
51.88766098022461,-8.541033744812012,51.892567,-8.508705,2292.647161857835,0 days 00:00:00.061696,2023-12-19 11:57:21,-110.0,-3.5
51.88804626464844,-8.539340019226074,51.892567,-8.508705,2169.2771719537222,0 days 00:00:00.061696,2023-12-19 11:54:49,-121.0,-6.2
51.887451171875,-8.539265632629395,51.892567,-8.508705,2180.6514336891496,0 days 00:00:00.061696,2023-12-19 11:53:21,-121.0,-7.5
51.889095306396484,-8.538192749023438,51.892567,-8.508705,2067.591818895276,0 days 00:00:00.061696,2023-12-19 11:50:12,-119.0,-3.0
51.88934326171875,-8.538098335266113,51.892567,-8.508705,2056.213053770025,0 days 00:00:00.061696,2023-12-19 11:50:00,-121.0,-5.0
51.88950729370117,-8.538269996643066,51.892567,-8.508705,2064.7532711031313,0 days 00:00:00.061696,2023-12-19 11:48:56,-116.0,-3.8
51.8900146484375,-8.538705825805664,51.892567,-8.508705,2085.89323711433,0 days 00:00:00.061696,2023-12-19 11:47:18,-121.0,-9.0
51.89106369018555,-8.540903091430664,51.892567,-8.508705,2223.9390522303975,0 days 00:00:00.061696,2023-12-19 11:41:39,-119.0,-1.0
51.89333724975586,-8.539462089538574,51.892567,-8.508705,2120.1632655330686,0 days 00:00:00.061696,2023-12-19 11:40:26,-118.0,-6.8
51.894630432128906,-8.538933753967285,51.892567,-8.508705,2094.667724046037,0 days 00:00:00.061696,2023-12-19 11:39:42,-100.0,-6.0
51.89545440673828,-8.538443565368652,51.892567,-8.508705,2073.343444851476,0 days 00:00:00.061696,2023-12-19 11:39:15,-103.0,5.2
51.895721435546875,-8.538284301757812,51.892567,-8.508705,2067.348995986318,0 days 00:00:00.061696,2023-12-19 11:38:48,-109.0,7.5
51.89572525024414,-8.538146018981934,51.892567,-8.508705,2058.045892659669,0 days 00:00:00.061696,2023-12-19 11:38:33,-113.0,1.2
51.89567184448242,-8.537386894226074,51.892567,-8.508705,2005.572977153783,0 days 00:00:00.061696,2023-12-19 11:38:28,-107.0,-0.5
51.8956298828125,-8.536787986755371,51.892567,-8.508705,1964.1825887811096,0 days 00:00:00.061696,2023-12-19 11:38:08,-113.0,-0.8
51.89558792114258,-8.535526275634766,51.892567,-8.508705,1877.9174336465148,0 days 00:00:00.061696,2023-12-19 11:37:48,-118.0,-1.2
51.89527893066406,-8.532923698425293,51.892567,-8.508705,1695.630619544898,0 days 00:00:00.061696,2023-12-19 11:37:05,-107.0,-4.0
51.89509963989258,-8.531316757202148,51.892567,-8.508705,1583.3211766318946,0 days 00:00:00.061696,2023-12-19 11:36:43,-115.0,-1.5
51.895057678222656,-8.531022071838379,51.892567,-8.508705,1562.5475776806584,0 days 00:00:00.061696,2023-12-19 11:36:27,-117.0,3.0
51.89506149291992,-8.531004905700684,51.892567,-8.508705,1561.4610325744743,0 days 00:00:00.061696,2023-12-19 11:36:03,-113.0,4.8
51.895057678222656,-8.530996322631836,51.892567,-8.508705,1560.8047832019301,0 days 00:00:00.061696,2023-12-19 11:35:45,-107.0,1.2
51.895076751708984,-8.531012535095215,51.892567,-8.508705,1562.2797092023102,0 days 00:00:00.061696,2023-12-19 11:34:21,-115.0,2.5
51.89507293701172,-8.530980110168457,51.892567,-8.508705,1560.0097997018152,0 days 00:00:00.061696,2023-12-19 11:34:06,-116.0,-2.2
51.895076751708984,-8.530858039855957,51.892567,-8.508705,1551.8266535144678,0 days 00:00:00.061696,2023-12-19 11:33:47,-109.0,-2.2
51.895103454589844,-8.530858039855957,51.892567,-8.508705,1552.3636056844844,0 days 00:00:00.061696,2023-12-19 11:33:41,-110.0,2.8
